id,code,name
hr_ocupacion_2611001,2611001,Abogado
hr_ocupacion_2611007,2611007,Abogado con especialidad de derecho civil o procesal
hr_ocupacion_2611008,2611008,"Abogado con especialidad de derecho internacional público, relaciones internacionales e integración regional"
hr_ocupacion_2611009,2611009,Abogado con especialidad en derecho civil o procesal civil
hr_ocupacion_2611010,2611010,Abogado con especialidad en derecho constitucional
hr_ocupacion_2611011,2611011,"Abogado con especialidad en derecho de las mujeres, genero y acceso a la justicia"
hr_ocupacion_2611005,2611005,Abogado con especialidad en derecho de propiedad privada
hr_ocupacion_2611012,2611012,Abogado con especialidad en derecho del Trabajo y de la Seguridad Social
hr_ocupacion_2611006,2611006,Abogado con especialidad en derecho indígena
hr_ocupacion_2611004,2611004,Abogado con especialidad en derecho laboral
hr_ocupacion_2611013,2611013,Abogado con especialidad en derecho mercantil
hr_ocupacion_2611003,2611003,Abogado con especialidad en derecho penal
hr_ocupacion_2611014,2611014,Abogado con especialidad en derechos humanos
hr_ocupacion_9624001,9624001,Acarreador de agua y recolectores  de  leña
hr_ocupacion_5162003,5162003,Acompañante de personas con minusvalía
hr_ocupacion_2659004,2659004,Acróbata
hr_ocupacion_2655001,2655001,Actor de cine
hr_ocupacion_2655004,2655004,Actor de comedia
hr_ocupacion_2655002,2655002,Actor de teatro
hr_ocupacion_2655003,2655003,Actor de televisión
hr_ocupacion_2120004,2120004,Actuario
hr_ocupacion_3230004,3230004,Acupuntor
hr_ocupacion_6129003,6129003,Adiestrador de perros
hr_ocupacion_5161001,5161001,Adivino
hr_ocupacion_2412003,2412003,Administrador aduanero
hr_ocupacion_2412004,2412004,Administrador aduanero y comercio internacional
hr_ocupacion_5152003,5152003,Administrador de alimentos y bebidas
hr_ocupacion_1114007,1114007,Administrador de asociación empresarial
hr_ocupacion_2421001,2421001,Administrador de empresa
hr_ocupacion_2422001,2422001,Administrador de la calidad
hr_ocupacion_1114004,1114004,Administrador de partido político
hr_ocupacion_3513003,3513003,Administrador de redes de computadoras
hr_ocupacion_2412006,2412006,Administrador de seguros y fianzas
hr_ocupacion_2522001,2522001,Administrador de sistemas
hr_ocupacion_3333005,3333005,Administrador del recurso humano
hr_ocupacion_2351004,2351004,Administrador educativo
hr_ocupacion_2421003,2421003,Administrador en formulación y evaluación de proyecto
hr_ocupacion_2422002,2422002,Administrador industrial
hr_ocupacion_2412007,2412007,Administrador tributarios y de tecnologías de aseguramiento
hr_ocupacion_5111001,5111001,Aeromoza (o)
hr_ocupacion_7224004,7224004,Afilador de herramientas
hr_ocupacion_7224003,7224003,Afilador de herramientas de corte
hr_ocupacion_7224001,7224001,Afilador de sierras y cuchillas para madera
hr_ocupacion_7312006,7312006,Afinador de instrumentos musicales de cuerdas
hr_ocupacion_7312005,7312005,Afinador de instrumentos musicales de percusión
hr_ocupacion_7312004,7312004,Afinador de instrumentos musicales de viento
hr_ocupacion_3359007,3359007,Agente administrativo de consulados
hr_ocupacion_3351001,3351001,Agente de aduanas
hr_ocupacion_3311001,3311001,Agente de bolsa
hr_ocupacion_3311002,3311002,Agente de cambio
hr_ocupacion_3324002,3324002,Agente de compras
hr_ocupacion_3333001,3333001,Agente de intermediación laboral
hr_ocupacion_3339001,3339001,Agente de publicidad
hr_ocupacion_5414003,5414003,Agente de seguridad privada
hr_ocupacion_3321001,3321001,Agente de seguros
hr_ocupacion_4221002,4221002,Agente de ventas de agencia de viajes
hr_ocupacion_4221001,4221001,Agente de viajes
hr_ocupacion_3339002,3339002,Agente deportivos
hr_ocupacion_3334001,3334001,Agente inmobiliario
hr_ocupacion_3339003,3339003,Agente literario
hr_ocupacion_3339005,3339005,Agente teatrales
hr_ocupacion_6111006,6111006,Agricultor de cultivos extensivos
hr_ocupacion_6113010,6113010,"Agricultor de huertas, invernaderos, viveros o jardines"
hr_ocupacion_6112010,6112010,Agricultor de plantaciones de árboles y arbustos
hr_ocupacion_2165002,2165002,Agrimensor
hr_ocupacion_2132001,2132001,Agrónomo
hr_ocupacion_7533004,7533004,Ajustador y reparador de prendas de vestir
hr_ocupacion_7112001,7112001,Albañil
hr_ocupacion_7123001,7123001,Albañil en acabados
hr_ocupacion_1113001,1113001,Alcalde
hr_ocupacion_7314001,7314001,Alfarero
hr_ocupacion_3359008,3359008,Alguacil
hr_ocupacion_5152004,5152004,Ama de llaves
hr_ocupacion_2652008,2652008,Ambientador musical
hr_ocupacion_2412005,2412005,Analista de crédito
hr_ocupacion_2511002,2511002,Analista de sistemas informáticos
hr_ocupacion_2413001,2413001,Analista financiero
hr_ocupacion_3119001,3119001,Analistas de organización y métodos
hr_ocupacion_2636010,2636010,Anciano religioso
hr_ocupacion_5113005,5113005,Anfitrion de turismo comunitario
hr_ocupacion_5113002,5113002,Animador turístico
hr_ocupacion_2632002,2632002,Antropólogo
hr_ocupacion_2632003,2632003,Antropólogo con especialidad en medicina forense
hr_ocupacion_7535001,7535001,Apelambrador de cuero de animales
hr_ocupacion_6123001,6123001,Apicultor
hr_ocupacion_7544001,7544001,Aplicador de plaguicidas
hr_ocupacion_2636008,2636008,Apóstol y profeta
hr_ocupacion_3413001,3413001,Aprendis de pastor
hr_ocupacion_3422003,3422003,Árbitro deportivo
hr_ocupacion_2621001,2621001,Archivero
hr_ocupacion_9311004,9311004,Arenero
hr_ocupacion_7111008,7111008,Armador de construcción
hr_ocupacion_2632004,2632004,Arqueólogo
hr_ocupacion_2161001,2161001,Arquitecto
hr_ocupacion_2162001,2162001,Arquitecto paisajistas
hr_ocupacion_9212001,9212001,Arriero
hr_ocupacion_7318003,7318003,Artesano de artículos de cuero y materiales similares
hr_ocupacion_7314004,7314004,Artesano de figuras de yeso (alcancillas)
hr_ocupacion_7314003,7314003,"Artesano de figuras y mascaras de barro, arcilla y otros"
hr_ocupacion_7318001,7318001,Artesano de los tejidos
hr_ocupacion_7314005,7314005,Artesano en la elaboración de estufas y cocinas de arcilla o barro
hr_ocupacion_2636002,2636002,Arzobispo
hr_ocupacion_8189000,8189000,Ascensorista
hr_ocupacion_3321003,3321003,Asegurador
hr_ocupacion_7523002,7523002,Aserrador
hr_ocupacion_8172008,8172008,Aserrador u Operador de madera
hr_ocupacion_3334002,3334002,Asesor de bienes raíces
hr_ocupacion_2351002,2351002,Asesor educativo
hr_ocupacion_2619002,2619002,Asesor legal
hr_ocupacion_3343002,3343002,Asistente administrativo
hr_ocupacion_5152001,5152001,Asistente de ama de llaves
hr_ocupacion_3311004,3311004,Asistente de mercadeo
hr_ocupacion_4416001,4416001,Asistente de recursos humanos
hr_ocupacion_5223001,5223001,Asistente de venta de tiendas y almacenes
